
       Target
                ecliptic
RA      Dec     latitude
 36.570 267.640 -65.087

Checked interval [2020-01-01, 2023-12-31]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End         RA            Dec     
 2020-03-03      2020-10-01       212.00     128.64696     331.65770      36.57018     267.64049 
 2021-03-03      2021-10-01       212.00     128.39142     331.39341      36.57018     267.64049 
 2022-03-03      2022-10-01       212.00     128.12668     331.12582      36.57018     267.64049 
 2023-03-03      2023-10-02       213.00     127.85619     331.74059      36.57018     267.64049 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max

2020-03-04   125.10 132.38   125.07 132.35   262.58 269.87   124.53 131.81   130.11 137.39   123.85 131.13
2020-03-05   125.75 133.55   125.72 133.53   263.24 271.04   125.18 132.98   130.76 138.57   124.50 132.30
2020-03-06   126.40 134.73   126.37 134.70   263.88 272.21   125.83 134.16   131.41 139.74   125.15 133.47
2020-03-07   127.04 135.90   127.02 135.87   264.53 273.38   126.47 135.33   132.06 140.91   125.79 134.65
2020-03-08   127.69 137.07   127.66 137.04   265.17 274.55   127.12 136.50   132.70 142.08   126.44 135.82
2020-03-09   128.33 138.24   128.30 138.21   265.82 275.72   127.76 137.67   133.34 143.25   127.08 136.98
2020-03-10   129.08 139.29   129.06 139.26   266.57 276.78   128.51 138.72   134.10 144.31   127.83 138.04
2020-03-11   129.99 140.19   129.96 140.17   267.47 277.68   129.42 139.62   135.00 145.21   128.74 138.94
2020-03-12   130.89 141.09   130.86 141.07   268.38 278.58   130.32 140.52   135.90 146.11   129.64 139.84
2020-03-13   131.79 141.99   131.76 141.97   269.28 279.48   131.22 141.42   136.81 147.01   130.54 140.74
2020-03-14   132.69 142.89   132.66 142.87   270.18 280.38   132.12 142.32   137.71 147.91   131.44 141.64
2020-03-15   133.59 143.79   133.56 143.76   271.08 281.28   133.02 143.22   138.61 148.81   132.34 142.54
2020-03-16   134.49 144.69   134.46 144.66   271.98 282.18   133.92 144.12   139.50 149.70   133.24 143.44
2020-03-17   135.39 145.59   135.36 145.56   272.87 283.07   134.82 145.02   140.40 150.60   134.14 144.34
2020-03-18   136.28 146.48   136.26 146.46   273.77 283.97   135.71 145.91   141.30 151.50   135.03 145.23
2020-03-19   137.18 147.38   137.15 147.35   274.67 284.87   136.61 146.81   142.19 152.40   135.93 146.13
2020-03-20   138.07 148.28   138.05 148.25   275.56 285.77   137.50 147.71   143.09 153.29   136.82 147.03
2020-03-21   138.97 149.18   138.94 149.15   276.45 286.66   138.40 148.61   143.98 154.19   137.72 147.92
2020-03-22   139.86 150.07   139.83 150.05   277.35 287.56   139.29 149.50   144.88 155.09   138.61 148.82
2020-03-23   140.75 150.97   140.73 150.94   278.24 288.46   140.18 150.40   145.77 155.98   139.50 149.72
2020-03-24   141.65 151.87   141.62 151.84   279.14 289.35   141.08 151.30   146.66 156.88   140.40 150.62
2020-03-25   142.54 152.77   142.51 152.74   280.03 290.25   141.97 152.20   147.56 157.78   141.29 151.51
2020-03-26   143.43 153.66   143.41 153.64   280.92 291.15   142.86 153.09   148.45 158.68   142.18 152.41
2020-03-27   144.33 154.56   144.30 154.54   281.81 292.05   143.76 153.99   149.34 159.58   143.08 153.31
2020-03-28   145.22 155.46   145.19 155.44   282.71 292.95   144.65 154.89   150.24 160.48   143.97 154.21
2020-03-29   146.11 156.36   146.09 156.34   283.60 293.85   145.54 155.79   151.13 161.38   144.86 155.11
2020-03-30   147.01 157.26   146.98 157.24   284.50 294.75   146.44 156.69   152.02 162.28   145.76 156.01
2020-03-31   147.90 158.17   147.88 158.14   285.39 295.65   147.33 157.60   152.92 163.18   146.65 156.92
2020-04-01   148.80 159.07   148.77 159.04   286.28 296.56   148.23 158.50   153.81 164.08   147.55 157.82
2020-04-02   149.69 159.97   149.67 159.95   287.18 297.46   149.12 159.40   154.71 164.99   148.44 158.72
2020-04-03   150.59 160.88   150.56 160.85   288.08 298.37   150.02 160.31   155.60 165.89   149.34 159.63
2020-04-04   151.49 161.79   151.46 161.76   288.97 299.27   150.92 161.22   156.50 166.80   150.23 160.54
2020-04-05   152.38 162.69   152.36 162.67   289.87 300.18   151.81 162.12   157.40 167.71   151.13 161.44
2020-04-06   153.28 163.60   153.26 163.58   290.77 301.09   152.71 163.03   158.30 168.62   152.03 162.35
2020-04-07   154.18 164.51   154.16 164.49   291.67 302.00   153.61 163.94   159.20 169.53   152.93 163.26
2020-04-08   155.08 165.43   155.06 165.40   292.57 302.91   154.51 164.86   160.10 170.44   153.83 164.18
2020-04-09   155.99 166.34   155.96 166.32   293.47 303.83   155.42 165.77   161.00 171.36   154.74 165.09
2020-04-10   156.89 167.26   156.86 167.23   294.38 304.75   156.32 166.69   161.91 172.27   155.64 166.01
2020-04-11   157.80 168.18   157.77 168.15   295.28 305.66   157.23 167.61   162.81 173.19   156.54 166.93
2020-04-12   158.70 169.10   158.68 169.07   296.19 306.58   158.13 168.53   163.72 174.11   157.45 167.85
2020-04-13   159.61 170.02   159.58 169.99   297.10 307.51   159.04 169.45   164.63 175.03   158.36 168.77
2020-04-14   160.52 170.94   160.49 170.92   298.01 308.43   159.95 170.37   165.54 175.96   159.27 169.69
2020-04-15   161.43 171.87   161.41 171.84   298.92 309.36   160.86 171.30   166.45 176.88   160.18 170.62
2020-04-16   162.35 172.80   162.32 172.77   299.83 310.28   161.78 172.23   167.36 177.81   161.10 171.54
2020-04-17   163.26 173.73   163.24 173.70   300.75 311.21   162.69 173.16   168.28 178.74   162.01 172.48
2020-04-18   164.18 174.66   164.15 174.63   301.67 312.15   163.61 174.09   169.20 179.67   162.93 173.41
2020-04-19   165.10 175.59   165.07 175.57   302.59 313.08   164.53 175.02   170.11 180.61   163.85 174.34
2020-04-20   166.02 176.53   166.00 176.50   303.51 314.02   165.45 175.96   171.04 181.55   164.77 175.28
2020-04-21   166.95 177.47   166.92 177.44   304.43 314.96   166.38 176.90   171.96 182.49   165.69 176.22
2020-04-22   167.87 178.41   167.85 178.39   305.36 315.90   167.30 177.84   172.89 183.43   166.62 177.16
2020-04-23   168.80 179.36   168.77 179.33   306.29 316.85   168.23 178.79   173.82 184.37   167.55 178.11
2020-04-24   169.73 180.31   169.71 180.28   307.22 317.79   169.16 179.74   174.75 185.32   168.48 179.06
2020-04-25   170.67 181.26   170.64 181.23   308.15 318.74   170.10 180.69   175.68 186.27   169.41 180.01
2020-04-26   171.60 182.21   171.57 182.18   309.09 319.70   171.03 181.64   176.62 187.22   170.35 180.96
2020-04-27   172.54 183.17   172.51 183.14   310.03 320.65   171.97 182.60   177.56 188.18   171.29 181.91
2020-04-28   173.48 184.12   173.45 184.10   310.97 321.61   172.91 183.55   178.50 189.14   172.23 182.87
2020-04-29   174.42 185.08   174.40 185.06   311.91 322.57   173.85 184.51   179.44 190.10   173.17 183.83
2020-04-30   175.37 186.05   175.35 186.02   312.86 323.54   174.80 185.48   180.39 191.06   174.12 184.80
2020-05-01   176.32 187.02   176.29 186.99   313.81 324.50   175.75 186.45   181.34 192.03   175.07 185.76
2020-05-02   177.27 187.99   177.25 187.96   314.76 325.47   176.70 187.42   182.29 193.00   176.02 186.73
2020-05-03   178.23 188.96   178.20 188.93   315.72 326.45   177.66 188.39   183.24 193.97   176.98 187.71
2020-05-04   179.19 189.93   179.16 189.91   316.67 327.42   178.62 189.36   184.20 194.95   177.94 188.68
2020-05-05   180.15 190.91   180.12 190.89   317.63 328.40   179.58 190.34   185.16 195.93   178.90 189.66
2020-05-06   181.11 191.89   181.08 191.87   318.60 329.38   180.54 191.32   186.13 196.91   179.86 190.64
2020-05-07   182.08 192.88   182.05 192.85   319.56 330.36   181.51 192.31   187.09 197.89   180.83 191.63
2020-05-08   183.05 193.86   183.02 193.84   320.53 331.35   182.48 193.29   188.06 198.88   181.80 192.61
2020-05-09   184.02 194.85   183.99 194.83   321.51 332.34   183.45 194.28   189.03 199.87   182.77 193.60
2020-05-10   184.99 195.85   184.97 195.82   322.48 333.33   184.42 195.28   190.01 200.86   183.74 194.60
2020-05-11   185.97 196.84   185.95 196.82   323.46 334.33   185.40 196.27   190.99 201.86   184.72 195.59
2020-05-12   186.95 197.84   186.93 197.82   324.44 335.33   186.38 197.27   191.97 202.86   185.70 196.59
2020-05-13   187.94 198.84   187.91 198.82   325.43 336.33   187.37 198.27   192.95 203.86   186.69 197.59
2020-05-14   188.93 199.85   188.90 199.82   326.41 337.33   188.36 199.28   193.94 204.86   187.68 198.60
2020-05-15   189.92 200.85   189.89 200.83   327.40 338.34   189.35 200.28   194.93 205.87   188.67 199.60
2020-05-16   190.91 201.86   190.88 201.84   328.40 339.35   190.34 201.29   195.92 206.88   189.66 200.61
2020-05-17   191.91 202.88   191.88 202.85   329.39 340.36   191.34 202.31   196.92 207.89   190.66 201.63
2020-05-18   192.91 203.89   192.88 203.87   330.39 341.38   192.34 203.32   197.92 208.91   191.65 202.64
2020-05-19   193.91 204.91   193.88 204.88   331.39 342.40   193.34 204.34   198.92 209.92   192.66 203.66
2020-05-20   194.91 205.93   194.89 205.90   332.40 343.42   194.34 205.36   199.93 210.94   193.66 204.68
2020-05-21   195.92 206.95   195.89 206.93   333.41 344.44   195.35 206.38   200.94 211.97   194.67 205.70
2020-05-22   196.93 207.98   196.90 207.95   334.42 345.47   196.36 207.41   201.95 212.99   195.68 206.73
2020-05-23   197.94 209.01   197.92 208.98   335.43 346.49   197.37 208.44   202.96 214.02   196.69 207.75
2020-05-24   198.96 210.04   198.93 210.01   336.45 347.52   198.39 209.47   203.98 215.05   197.71 208.78
2020-05-25   199.98 211.07   199.95 211.04   337.47 348.55   199.41 210.50   204.99 216.08   198.73 209.82
2020-05-26   201.00 212.10   200.97 212.08   338.49 349.59   200.43 211.53   206.02 217.12   199.75 210.85
2020-05-27   202.02 213.14   202.00 213.11   339.51 350.63   201.45 212.57   207.04 218.15   200.77 211.89
2020-05-28   203.05 214.18   203.02 214.15   340.54 351.66   202.48 213.61   208.07 219.19   201.80 212.93
2020-05-29   204.08 215.22   204.05 215.19   341.57 352.70   203.51 214.65   209.10 220.23   202.83 213.97
2020-05-30   205.11 216.26   205.08 216.23   342.60 353.75   204.54 215.69   210.13 221.27   203.86 215.01
2020-05-31   206.14 217.30   206.12 217.28   343.63 354.79   205.57 216.73   211.16 222.32   204.89 216.05
2020-06-01   207.18 218.35   207.15 218.32   344.67 355.84   206.61 217.78   212.20 223.36   205.93 217.10
2020-06-02   208.22 219.40   208.19 219.37   345.71 356.88   207.65 218.83   213.23 224.41   206.97 218.15
2020-06-03   209.26 220.44   209.23 220.42   346.75 357.93   208.69 219.87   214.27 225.46   208.01 219.19
2020-06-04   210.30 221.49   210.27 221.47   347.79 358.98   209.73 220.92   215.31 226.51   209.05 220.24
2020-06-05   211.34 222.55   211.32 222.52   348.83   0.03   210.77 221.98   216.36 227.56   210.09 221.30
2020-06-06   212.39 223.60   212.36 223.57   349.88   1.09   211.82 223.03   217.40 228.61   211.14 222.35
2020-06-07   213.44 224.65   213.41 224.63   350.92   2.14   212.87 224.08   218.45 229.67   212.18 223.40
2020-06-08   214.48 225.71   214.46 225.68   351.97   3.19   213.91 225.14   219.50 230.72   213.23 224.46
2020-06-09   215.53 226.76   215.51 226.73   353.02   4.25   214.96 226.19   220.55 231.78   214.28 225.51
2020-06-10   216.58 227.82   216.56 227.79   354.07   5.30   216.01 227.25   221.60 232.83   215.33 226.57
2020-06-11   217.64 228.87   217.61 228.85   355.12   6.36   217.07 228.30   222.65 233.89   216.39 227.62
2020-06-12   218.69 229.93   218.66 229.90   356.18   7.42   218.12 229.36   223.71 234.95   217.44 228.68
2020-06-13   219.75 230.99   219.72 230.96   357.23   8.48   219.18 230.42   224.76 236.00   218.49 229.74
2020-06-14   220.80 232.05   220.77 232.02   358.29   9.53   220.23 231.48   225.82 237.06   219.55 230.79
2020-06-15   221.86 233.10   221.83 233.08   359.34  10.59   221.29 232.53   226.87 238.12   220.61 231.85
2020-06-16   222.91 234.16   222.89 234.13     0.40  11.65   222.34 233.59   227.93 239.18   221.66 232.91
2020-06-17   223.97 235.22   223.95 235.19     1.46  12.70   223.40 234.65   228.99 240.23   222.72 233.97
2020-06-18   225.03 236.27   225.00 236.25     2.52  13.76   224.46 235.70   230.04 241.29   223.78 235.02
2020-06-19   226.09 237.33   226.06 237.30     3.58  14.82   225.52 236.76   231.10 242.35   224.84 236.08
2020-06-20   227.15 238.39   227.12 238.36     4.63  15.87   226.58 237.82   232.16 243.40   225.90 237.14
2020-06-21   228.20 239.44   228.18 239.42     5.69  16.93   227.63 238.87   233.22 244.46   226.95 238.19
2020-06-22   229.26 240.50   229.24 240.47     6.75  17.99   228.69 239.93   234.28 245.51   228.01 239.25
2020-06-23   230.32 241.55   230.29 241.53     7.81  19.04   229.75 240.98   235.34 246.57   229.07 240.30
2020-06-24   231.38 242.60   231.35 242.58     8.87  20.09   230.81 242.03   236.39 247.62   230.13 241.35
2020-06-25   232.44 243.66   232.41 243.63     9.92  21.14   231.87 243.09   237.45 248.67   231.19 242.41
2020-06-26   233.49 244.71   233.47 244.68    10.98  22.19   232.92 244.14   238.51 249.72   232.24 243.46
2020-06-27   234.55 245.76   234.52 245.73    12.04  23.24   233.98 245.19   239.56 250.77   233.30 244.51
2020-06-28   235.60 246.81   235.58 246.78    13.09  24.29   235.03 246.24   240.62 251.82   234.35 245.55
2020-06-29   236.66 247.85   236.63 247.83    14.15  25.34   236.09 247.28   241.67 252.87   235.41 246.60
2020-06-30   237.71 248.90   237.69 248.87    15.20  26.38   237.14 248.33   242.73 253.91   236.46 247.65
2020-07-01   238.76 249.94   238.74 249.91    16.25  27.43   238.19 249.37   243.78 254.95   237.51 248.69
2020-07-02   239.82 250.98   239.79 250.95    17.30  28.47   239.25 250.41   244.83 256.00   238.56 249.73
2020-07-03   240.87 252.02   240.84 251.99    18.35  29.51   240.30 251.45   245.88 257.04   239.61 250.77
2020-07-04   241.91 253.06   241.89 253.03    19.40  30.55   241.34 252.49   246.93 258.07   240.66 251.81
2020-07-05   242.96 254.09   242.93 254.07    20.45  31.58   242.39 253.52   247.98 259.11   241.71 252.84
2020-07-06   244.01 255.13   243.98 255.10    21.49  32.61   243.44 254.56   249.02 260.14   242.75 253.88
2020-07-07   245.05 256.16   245.02 256.13    22.54  33.64   244.48 255.59   250.06 261.17   243.80 254.91
2020-07-08   246.09 257.19   246.06 257.16    23.58  34.67   245.52 256.62   251.10 262.20   244.84 255.94
2020-07-09   247.13 258.21   247.10 258.19    24.62  35.70   246.56 257.64   252.14 263.23   245.88 256.96
2020-07-10   248.17 259.24   248.14 259.21    25.65  36.72   247.60 258.67   253.18 264.25   246.92 257.99
2020-07-11   249.20 260.26   249.17 260.23    26.69  37.74   248.63 259.69   254.22 265.27   247.95 259.01
2020-07-12   250.23 261.28   250.21 261.25    27.72  38.76   249.66 260.71   255.25 266.29   248.98 260.03
2020-07-13   251.26 262.29   251.24 262.27    28.75  39.78   250.69 261.72   256.28 267.31   250.01 261.04
2020-07-14   252.29 263.30   252.27 263.28    29.78  40.79   251.72 262.73   257.31 268.32   251.04 262.05
2020-07-15   253.32 264.32   253.29 264.29    30.81  41.80   252.75 263.75   258.33 269.33   252.07 263.06
2020-07-16   254.34 265.32   254.31 265.30    31.83  42.81   253.77 264.75   259.36 270.34   253.09 264.07
2020-07-17   255.36 266.33   255.34 266.30    32.85  43.81   254.79 265.76   260.38 271.34   254.11 265.08
2020-07-18   256.38 267.33   256.35 267.30    33.87  44.82   255.81 266.76   261.39 272.34   255.13 266.08
2020-07-19   257.39 268.33   257.37 268.30    34.88  45.82   256.82 267.76   262.41 273.34   256.14 267.08
2020-07-20   258.41 269.32   258.38 269.30    35.89  46.81   257.84 268.75   263.42 274.34   257.16 268.07
2020-07-21   259.42 270.32   259.39 270.29    36.90  47.80   258.85 269.75   264.43 275.33   258.17 269.07
2020-07-22   260.42 271.31   260.40 271.28    37.91  48.79   259.85 270.74   265.44 276.32   259.17 270.05
2020-07-23   261.43 272.29   261.40 272.27    38.91  49.78   260.86 271.72   266.44 277.31   260.18 271.04
2020-07-24   262.43 273.28   262.40 273.25    39.91  50.76   261.86 272.71   267.44 278.29   261.18 272.02
2020-07-25   263.43 274.26   263.40 274.23    40.91  51.74   262.86 273.69   268.44 279.27   262.17 273.01
2020-07-26   264.42 275.23   264.39 275.21    41.91  52.72   263.85 274.66   269.43 280.25   263.17 273.98
2020-07-27   265.41 276.21   265.38 276.18    42.90  53.69   264.84 275.64   270.43 281.22   264.16 274.96
2020-07-28   266.40 277.18   266.37 277.15    43.89  54.67   265.83 276.61   271.42 282.19   265.15 275.93
2020-07-29   267.39 278.15   267.36 278.12    44.87  55.63   266.82 277.58   272.40 283.16   266.13 276.90
2020-07-30   268.37 279.11   268.34 279.08    45.85  56.60   267.80 278.54   273.38 284.13   267.12 277.86
2020-07-31   269.35 280.07   269.32 280.05    46.83  57.56   268.78 279.50   274.36 285.09   268.10 278.82
2020-08-01   270.32 281.03   270.30 281.00    47.81  58.52   269.75 280.46   275.34 286.05   269.07 279.78
2020-08-02   271.30 281.99   271.27 281.96    48.78  59.47   270.73 281.42   276.31 287.00   270.04 280.74
2020-08-03   272.27 282.94   272.24 282.91    49.75  60.43   271.70 282.37   277.28 287.95   271.01 281.69
2020-08-04   273.23 283.89   273.21 283.86    50.72  61.38   272.66 283.32   278.25 288.90   271.98 282.64
2020-08-05   274.20 284.84   274.17 284.81    51.68  62.32   273.63 284.27   279.21 289.85   272.94 283.58
2020-08-06   275.16 285.78   275.13 285.75    52.64  63.27   274.59 285.21   280.17 290.79   273.91 284.53
2020-08-07   276.11 286.72   276.09 286.69    53.60  64.21   275.54 286.15   281.13 291.73   274.86 285.47
2020-08-08   277.07 287.66   277.04 287.63    54.56  65.14   276.50 287.09   282.08 292.67   275.82 286.41
2020-08-09   278.02 288.59   277.99 288.57    55.51  66.08   277.45 288.02   283.03 293.61   276.77 287.34
2020-08-10   278.97 289.52   278.94 289.50    56.46  67.01   278.40 288.95   283.98 294.54   277.72 288.27
2020-08-11   279.91 290.45   279.89 290.43    57.40  67.94   279.34 289.88   284.93 295.47   278.66 289.20
2020-08-12   280.86 291.38   280.83 291.35    58.34  68.87   280.29 290.81   285.87 296.40   279.61 290.13
2020-08-13   281.80 292.30   281.77 292.28    59.28  69.79   281.23 291.73   286.81 297.32   280.55 291.05
2020-08-14   282.73 293.23   282.71 293.20    60.22  70.71   282.16 292.66   287.75 298.24   281.48 291.98
2020-08-15   283.67 294.15   283.64 294.12    61.15  71.63   283.10 293.58   288.68 299.16   282.42 292.89
2020-08-16   284.60 295.06   284.57 295.04    62.09  72.55   284.03 294.49   289.61 300.08   283.35 293.81
2020-08-17   285.53 295.98   285.50 295.95    63.01  73.46   284.96 295.41   290.54 300.99   284.28 294.73
2020-08-18   286.45 296.89   286.43 296.86    63.94  74.38   285.88 296.32   291.47 301.90   285.20 295.64
2020-08-19   287.38 297.80   287.35 297.77    64.86  75.28   286.81 297.23   292.39 302.81   286.13 296.55
2020-08-20   288.30 298.71   288.27 298.68    65.79  76.19   287.73 298.14   293.31 303.72   287.05 297.45
2020-08-21   289.22 299.61   289.19 299.58    66.70  77.10   288.65 299.04   294.23 304.63   287.97 298.36
2020-08-22   290.13 300.51   290.11 300.49    67.62  78.00   289.56 299.94   295.15 305.53   288.88 299.26
2020-08-23   291.05 301.42   291.02 301.39    68.53  78.90   290.48 300.85   296.06 306.43   289.80 300.16
2020-08-24   291.96 302.31   291.93 302.29    69.45  79.80   291.39 301.74   296.97 307.33   290.71 301.06
2020-08-25   292.87 303.21   292.84 303.19    70.36  80.70   292.30 302.64   297.88 308.23   291.62 301.96
2020-08-26   293.78 304.11   293.75 304.08    71.26  81.60   293.21 303.54   298.79 309.12   292.52 302.86
2020-08-27   294.68 305.00   294.65 304.98    72.17  82.49   294.11 304.43   299.70 310.02   293.43 303.75
2020-08-28   295.58 305.90   295.56 305.87    73.07  83.38   295.01 305.33   300.60 310.91   294.33 304.65
2020-08-29   296.49 306.79   296.46 306.76    73.97  84.27   295.92 306.22   301.50 311.80   295.23 305.54
2020-08-30   297.39 307.68   297.36 307.65    74.87  85.17   296.82 307.11   302.40 312.69   296.13 306.43
2020-08-31   298.28 308.57   298.26 308.54    75.77  86.05   297.71 308.00   303.30 313.58   297.03 307.32
2020-09-01   299.18 309.45   299.15 309.43    76.67  86.94   298.61 308.88   304.19 314.47   297.93 308.20
2020-09-02   300.07 310.34   300.05 310.31    77.56  87.83   299.50 309.77   305.09 315.36   298.82 309.09
2020-09-03   300.97 311.23   300.94 311.20    78.45  88.71   300.40 310.66   305.98 316.24   299.72 309.97
2020-09-04   301.86 312.11   301.83 312.08    79.35  89.60   301.29 311.54   306.87 317.13   300.61 310.86
2020-09-05   302.75 312.99   302.72 312.97    80.24  90.48   302.18 312.42   307.76 318.01   301.50 311.74
2020-09-06   303.64 313.88   303.61 313.85    81.13  91.36   303.07 313.31   308.65 318.89   302.39 312.63
2020-09-07   304.53 314.76   304.50 314.73    82.01  92.25   303.96 314.19   309.54 319.77   303.28 313.51
2020-09-08   305.41 315.64   305.39 315.61    82.90  93.13   304.84 315.07   310.43 320.66   304.16 314.39
2020-09-09   306.30 316.52   306.27 316.49    83.79  94.01   305.73 315.95   311.31 321.54   305.05 315.27
2020-09-10   307.18 317.40   307.16 317.38    84.67  94.89   306.61 316.83   312.20 322.42   305.93 316.15
2020-09-11   308.07 318.28   308.04 318.26    85.56  95.77   307.50 317.71   313.08 323.30   306.82 317.03
2020-09-12   308.95 319.16   308.93 319.14    86.44  96.65   308.38 318.59   313.97 324.18   307.70 317.91
2020-09-13   309.84 320.04   309.81 320.02    87.32  97.53   309.27 319.47   314.85 325.06   308.58 318.79
2020-09-14   310.72 320.92   310.69 320.90    88.21  98.41   310.15 320.35   315.73 325.94   309.47 319.67
2020-09-15   311.60 321.80   311.57 321.78    89.09  99.29   311.03 321.23   316.62 326.82   310.35 320.55
2020-09-16   312.48 322.68   312.46 322.66    89.97 100.17   311.91 322.11   317.50 327.70   311.23 321.43
2020-09-17   313.36 323.56   313.34 323.54    90.85 101.05   312.79 322.99   318.38 328.58   312.11 322.31
2020-09-18   314.24 324.44   314.22 324.42    91.73 101.93   313.67 323.87   319.26 329.46   312.99 323.19
2020-09-19   315.13 325.33   315.10 325.30    92.61 102.81   314.56 324.76   320.14 330.34   313.88 324.08
2020-09-20   316.01 326.21   315.98 326.18    93.49 103.70   315.44 325.64   321.02 331.22   314.76 324.96
2020-09-21   316.89 327.09   316.86 327.06    94.38 104.58   316.32 326.52   321.90 332.11   315.64 325.84
2020-09-22   317.77 327.97   317.74 327.95    95.26 105.46   317.20 327.40   322.79 332.99   316.52 326.72
2020-09-23   318.65 328.86   318.63 328.83    96.14 106.35   318.08 328.29   323.67 333.87   317.40 327.61
2020-09-24   319.54 329.74   319.51 329.72    97.02 107.23   318.97 329.17   324.55 334.76   318.28 328.49
2020-09-25   320.59 330.46   320.56 330.43    98.07 107.95   320.02 329.89   325.60 335.48   319.34 329.21
2020-09-26   321.73 331.09   321.70 331.07    99.21 108.58   321.16 330.52   326.74 336.11   320.48 329.84
2020-09-27   322.87 331.73   322.84 331.70   100.35 109.21   322.30 331.16   327.88 336.74   321.62 330.47
2020-09-28   324.01 332.36   323.98 332.33   101.50 109.85   323.44 331.79   329.02 337.37   322.76 331.11
2020-09-29   325.15 333.00   325.12 332.97   102.64 110.48   324.58 332.43   330.16 338.01   323.90 331.75
2020-09-30   326.29 333.63   326.26 333.61   103.78 111.12   325.72 333.06   331.31 338.65   325.04 332.38
2020-10-01   327.43 334.27   327.41 334.25   104.92 111.76   326.86 333.70   332.45 339.29   326.18 333.02

2021-03-04   124.90 132.06   124.87 132.04   262.39 269.55   124.33 131.49   129.92 137.08   123.65 130.81
2021-03-05   125.55 133.24   125.52 133.21   263.04 270.72   124.98 132.67   130.57 138.25   124.30 131.99
2021-03-06   126.20 134.41   126.17 134.38   263.69 271.89   125.63 133.84   131.21 139.42   124.95 133.16
2021-03-07   126.85 135.58   126.82 135.55   264.33 273.06   126.28 135.01   131.86 140.59   125.59 134.33
2021-03-08   127.49 136.75   127.46 136.72   264.98 274.23   126.92 136.18   132.50 141.76   126.24 135.49
2021-03-09   128.13 137.91   128.10 137.89   265.62 275.40   127.56 137.34   133.15 142.93   126.88 136.66
2021-03-10   128.82 139.03   128.79 139.00   266.31 276.52   128.25 138.46   133.84 144.05   127.57 137.78
2021-03-11   129.72 139.93   129.70 139.90   267.21 277.42   129.15 139.36   134.74 144.95   128.47 138.68
2021-03-12   130.63 140.83   130.60 140.80   268.11 278.32   130.06 140.26   135.64 145.85   129.38 139.58
2021-03-13   131.53 141.73   131.50 141.70   269.01 279.22   130.96 141.16   136.54 146.74   130.28 140.48
2021-03-14   132.43 142.63   132.40 142.60   269.91 280.12   131.86 142.06   137.44 147.64   131.18 141.38
2021-03-15   133.33 143.53   133.30 143.50   270.81 281.01   132.76 142.96   138.34 148.54   132.07 142.27
2021-03-16   134.22 144.42   134.20 144.40   271.71 281.91   133.65 143.85   139.24 149.44   132.97 143.17
2021-03-17   135.12 145.32   135.09 145.29   272.61 282.81   134.55 144.75   140.13 150.33   133.87 144.07
2021-03-18   136.01 146.22   135.99 146.19   273.50 283.70   135.44 145.65   141.03 151.23   134.76 144.97
2021-03-19   136.91 147.11   136.88 147.09   274.40 284.60   136.34 146.54   141.92 152.13   135.66 145.86
2021-03-20   137.80 148.01   137.78 147.98   275.29 285.50   137.23 147.44   142.82 153.02   136.55 146.76
2021-03-21   138.70 148.90   138.67 148.88   276.18 286.39   138.13 148.33   143.71 153.92   137.45 147.65
2021-03-22   139.59 149.80   139.56 149.77   277.08 287.29   139.02 149.23   144.61 154.82   138.34 148.55
2021-03-23   140.48 150.70   140.46 150.67   277.97 288.19   139.91 150.13   145.50 155.71   139.23 149.45
2021-03-24   141.38 151.59   141.35 151.57   278.86 289.08   140.81 151.02   146.39 156.61   140.13 150.34
2021-03-25   142.27 152.49   142.24 152.47   279.76 289.98   141.70 151.92   147.28 157.51   141.02 151.24
2021-03-26   143.16 153.39   143.13 153.36   280.65 290.88   142.59 152.82   148.18 158.40   141.91 152.14
2021-03-27   144.05 154.29   144.03 154.26   281.54 291.78   143.48 153.72   149.07 159.30   142.80 153.04
2021-03-28   144.95 155.19   144.92 155.16   282.43 292.67   144.38 154.62   149.96 160.20   143.70 153.94
2021-03-29   145.84 156.09   145.81 156.06   283.33 293.57   145.27 155.52   150.85 161.10   144.59 154.84
2021-03-30   146.73 156.99   146.71 156.96   284.22 294.47   146.16 156.42   151.75 162.00   145.48 155.74
2021-03-31   147.63 157.89   147.60 157.86   285.11 295.38   147.06 157.32   152.64 162.90   146.38 156.64
2021-04-01   148.52 158.79   148.49 158.76   286.01 296.28   147.95 158.22   153.54 163.81   147.27 157.54
2021-04-02   149.42 159.69   149.39 159.67   286.90 297.18   148.85 159.12   154.43 164.71   148.17 158.44
2021-04-03   150.31 160.60   150.29 160.57   287.80 298.09   149.74 160.03   155.33 165.61   149.06 159.35
2021-04-04   151.21 161.51   151.18 161.48   288.70 298.99   150.64 160.94   156.22 166.52   149.96 160.26
2021-04-05   152.11 162.41   152.08 162.39   289.59 299.90   151.54 161.84   157.12 167.43   150.86 161.16
2021-04-06   153.00 163.32   152.98 163.30   290.49 300.81   152.43 162.75   158.02 168.34   151.75 162.07
2021-04-07   153.90 164.23   153.88 164.21   291.39 301.72   153.33 163.66   158.92 169.25   152.65 162.98
2021-04-08   154.80 165.15   154.78 165.12   292.29 302.63   154.23 164.58   159.82 170.16   153.55 163.89
